Date,Value
07/01/2015,2345228
07/02/2015,2345512
07/03/2015,2345499
07/04/2015,2345483
07/05/2015,2345748
07/06/2015,2346024
07/07/2015,2346278
07/08/2015,2346536
07/09/2015,2346779
07/10/2015,2346770
07/11/2015,2346765
07/12/2015,2347045
07/13/2015,2347317
07/14/2015,2347625
07/15/2015,2347938
07/16/2015,2347928
07/17/2015,2347920
07/18/2015,2347901
07/19/2015,2347893
07/20/2015,2347883
07/21/2015,2348264
07/22/2015,2348725
07/23/2015,2348711
07/24/2015,2348699
07/25/2015,2348686
07/26/2015,2349031
07/27/2015,2349537
07/28/2015,2350054
07/29/2015,2350475
07/30/2015,2350876
07/31/2015,2350860
08/01/2015,2350846
08/02/2015,2351231
08/03/2015,2351619
08/04/2015,2352017
08/05/2015,2352378
08/06/2015,2352727
08/07/2015,2352720
08/08/2015,2352703
08/09/2015,2353097
08/10/2015,2353503
08/11/2015,2353884
08/12/2015,2354259
08/13/2015,2354661
08/14/2015,2354653
08/15/2015,2354642
08/16/2015,2355024
08/17/2015,2355414
08/18/2015,2355805
08/19/2015,2356182
08/20/2015,2356539
08/21/2015,2356523
08/22/2015,2356506
08/23/2015,2356846
08/24/2015,2357225
08/25/2015,2357544
08/26/2015,2357907
08/27/2015,2358303
08/28/2015,2358291
08/29/2015,2358276
08/30/2015,2358709
08/31/2015,2359066
09/01/2015,2359412
09/02/2015,2359760
09/03/2015,2360152
09/04/2015,2360145
09/05/2015,2360135
09/06/2015,2360492
09/07/2015,2360801
09/08/2015,2361108
09/09/2015,2361416
09/10/2015,2361785
09/11/2015,2361781
09/12/2015,2361780
09/13/2015,2362088
09/14/2015,2362391
09/15/2015,2362686
09/16/2015,2363037
09/17/2015,2363367
09/18/2015,2363360
09/19/2015,2363351
09/20/2015,2363733
09/21/2015,2364112
09/22/2015,2364421
09/23/2015,2364420
09/24/2015,2364414
09/25/2015,2364411
09/26/2015,2364405
09/27/2015,2364801
09/28/2015,2365223
09/29/2015,2365554
09/30/2015,343335
10/01/2015,2366358
10/02/2015,2366351
10/03/2015,2366342
10/04/2015,2366701
10/05/2015,2367048
10/06/2015,2367376
10/07/2015,2367733
10/08/2015,2368118
10/09/2015,2368110
10/10/2015,2368110
10/11/2015,2368493
10/12/2015,2368861
10/13/2015,2369202
10/14/2015,2369548
10/15/2015,2369539
10/16/2015,2369537
10/17/2015,2369526
10/18/2015,2369862
10/19/2015,2370249
10/20/2015,2370568
10/21/2015,2370888
10/22/2015,2371238
10/23/2015,2371231
10/24/2015,2371227
10/25/2015,2371541
10/26/2015,2371869
10/27/2015,2372195
10/28/2015,2372506
10/29/2015,2372903
10/30/2015,2372895
10/31/2015,2372891
11/01/2015,2373237
11/02/2015,2373566
11/03/2015,2373946
11/04/2015,2374317
