regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total Sultanate,1777685.0,1826124.0,1869580.0,1781558.0,1802931.0,1842684.0,1883576.0,1922697.0,1967180.0,2017559.0,1957336.0,2013158.0,2092560.0,2172002.0,2260705.0,2344646.0,2427825.0,2505369.0,2579236.0,2655144.0
Muscat,366264.0,377777.0,388387.0,381612.0,389998.0,400778.0,411872.0,422590.0,434403.0,447401.0,407006.0,418652.0,435149.0,451652.0,470085.0,487592.0,512039.0,528327.0,543930.0,560011.0
Wilayat Muscat,38320.0,39525.0,40635.0,20732.0,21188.0,21773.0,22376.0,22958.0,23600.0,24306.0,19266.0,19817.0,20598.0,21379.0,22251.0,23081.0,24210.0,24972.0,25703.0,26482.0
Wilayat Mutrah,75796.0,78178.0,80373.0,56506.0,57748.0,59344.0,60987.0,62574.0,64322.0,66248.0,47487.0,48857.0,50778.0,52699.0,54846.0,56885.0,60314.0,62226.0,64089.0,65943.0
Wilayat Al Amrat,38258.0,39461.0,40569.0,35548.0,36329.0,37333.0,38367.0,39365.0,40466.0,41676.0,45643.0,46943.0,48795.0,50648.0,52718.0,54683.0,57546.0,59398.0,61138.0,62939.0
Wilayat Bawshar,50568.0,52158.0,53623.0,70791.0,72347.0,74346.0,76404.0,78393.0,80584.0,82995.0,72977.0,75067.0,78024.0,80982.0,84287.0,87426.0,92433.0,95393.0,98198.0,101087.0
Wilayat As Seeb,126182.0,130148.0,133804.0,162522.0,166093.0,170685.0,175409.0,179974.0,185005.0,190541.0,184909.0,190203.0,197697.0,205194.0,213566.0,221518.0,231709.0,239031.0,246117.0,253423.0
Wilayat Qurayyat,37140.0,38307.0,39383.0,35513.0,36293.0,37297.0,38329.0,39326.0,40426.0,41635.0,36724.0,37765.0,39257.0,40750.0,42417.0,43999.0,45827.0,47307.0,48685.0,50137.0
Dhofar,150879.0,155090.0,158910.0,150959.0,153083.0,156722.0,160445.0,164002.0,168004.0,172500.0,164073.0,168764.0,175416.0,182070.0,189501.0,196560.0,204471.0,210984.0,217146.0,223615.0
Wilayat Salalah,97239.0,99954.0,102416.0,103510.0,104967.0,107462.0,105774.0,108119.0,110759.0,113722.0,107804.0,110886.0,115257.0,119627.0,124512.0,129150.0,134700.0,139017.0,143085.0,147326.0
Wilayat Taqah,15986.0,16432.0,16837.0,15511.0,15729.0,16103.0,16486.0,16851.0,17262.0,17724.0,15579.0,16024.0,16655.0,17288.0,17994.0,18665.0,19369.0,19961.0,20567.0,21172.0
Wilayat Mirbat,11646.0,11971.0,12266.0,12947.0,13129.0,13441.0,13760.0,14066.0,14409.0,14795.0,11491.0,11819.0,12285.0,12752.0,13272.0,13767.0,14299.0,14749.0,15166.0,15620.0
Wilayat Rakhyut,4080.0,4194.0,4297.0,3900.0,3955.0,4049.0,4145.0,4237.0,4340.0,4457.0,3859.0,3969.0,4126.0,4282.0,4457.0,4623.0,4785.0,4942.0,5083.0,5241.0
