regions,indicators,nationality,sex,age-groups,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total Sultanate,Total Population,Omani,Total,Total,capita,1777685,1826124,1869580,1781558,1802931,1842684,1883576,1922697,1967180,2017559,1957336,2013158,2092560,2172002,2260705,2344646,2427825,2505369,2579236,2655144,2735966
Muscat,Total Population,Omani,Total,Total,capita,366264,377777,388387,381612,389998,400778,411872,422590,434403,447401,407006,418652,435149,451652,470085,487592,512039,528327,543930,560011,543293
Wilayat Muscat,Total Population,Omani,Total,Total,capita,38320,39525,40635,20732,21188,21773,22376,22958,23600,24306,19266,19817,20598,21379,22251,23081,24210,24972,25703,26482,19584
Wilayat Mutrah,Total Population,Omani,Total,Total,capita,75796,78178,80373,56506,57748,59344,60987,62574,64322,66248,47487,48857,50778,52699,54846,56885,60314,62226,64089,65943,39187
Wilayat Al Amrat,Total Population,Omani,Total,Total,capita,38258,39461,40569,35548,36329,37333,38367,39365,40466,41676,45643,46943,48795,50648,52718,54683,57546,59398,61138,62939,90220
Wilayat Bawshar,Total Population,Omani,Total,Total,capita,50568,52158,53623,70791,72347,74346,76404,78393,80584,82995,72977,75067,78024,80982,84287,87426,92433,95393,98198,101087,89457
Wilayat As Seeb,Total Population,Omani,Total,Total,capita,126182,130148,133804,162522,166093,170685,175409,179974,185005,190541,184909,190203,197697,205194,213566,221518,231709,239031,246117,253423,258089
Wilayat Qurayyat,Total Population,Omani,Total,Total,capita,37140,38307,39383,35513,36293,37297,38329,39326,40426,41635,36724,37765,39257,40750,42417,43999,45827,47307,48685,50137,46756
Dhofar,Total Population,Omani,Total,Total,capita,150879,155090,158910,150959,153083,156722,160445,164002,168004,172500,164073,168764,175416,182070,189501,196560,204471,210984,217146,223615,215564
Wilayat Salalah,Total Population,Omani,Total,Total,capita,97239,99954,102416,103510,104967,107462,105774,108119,110759,113722,107804,110886,115257,119627,124512,129150,134700,139017,143085,147326,150406
Wilayat Taqah,Total Population,Omani,Total,Total,capita,15986,16432,16837,15511,15729,16103,16486,16851,17262,17724,15579,16024,16655,17288,17994,18665,19369,19961,20567,21172,18165
Wilayat Mirbat,Total Population,Omani,Total,Total,capita,11646,11971,12266,12947,13129,13441,13760,14066,14409,14795,11491,11819,12285,12752,13272,13767,14299,14749,15166,15620,13025
Wilayat Rakhyut,Total Population,Omani,Total,Total,capita,4080,4194,4297,3900,3955,4049,4145,4237,4340,4457,3859,3969,4126,4282,4457,4623,4785,4942,5083,5241,4267
Wilayat Thumrayt,Total Population,Omani,Total,Total,capita,5049,5190,5317,5117,5189,5312,5439,5559,5695,5847,7562,7779,8085,8392,8733,9058,9479,9793,10076,10377,9958
Wilayat Dalkut,Total Population,Omani,Total,Total,capita,2629,2702,2769,2588,2624,2687,2751,2812,2880,2957,2382,2450,2547,2644,2752,2854,2866,2942,3043,3144,2679
Wilayat Al Mazyunah,Total Population,Omani,Total,Total,capita,,,,,,,4240,4334,4439,4558,7127,7331,7620,7909,8231,8537,8706,9002,9264,9533,7315
Wilayat Muqshin,Total Population,Omani,Total,Total,capita,5207,5352,5484,353,358,366,375,383,393,403,637,654,681,707,735,763,798,827,847,868,469
Wilayat Shalim Wa Juzor Al Hallaniyat,Total Population,Omani,Total,Total,capita,4732,4864,4984,2767,2806,2873,2941,3006,3079,3162,3047,3135,3258,3381,3520,3651,3776,3891,3995,4128,4103
Wilayat Sadah,Total Population,Omani,Total,Total,capita,4311,4431,4540,4266,4326,4429,4534,4635,4748,4875,4585,4717,4902,5088,5295,5492,5693,5860,6020,6206,5177
Musandam,Total Population,Omani,Total,Total,capita,,27428,28063,20324,20429,20917,21413,21880,22408,22997,21898,22526,23413,24300,25292,26232,27594,28477,29288,30114,34287
Wilayat Khasab,Total Population,Omani,Total,Total,capita,15453,15866,16232,13124,13192,13507,13827,14129,14470,14850,13847,14244,14805,15366,15993,16588,17428,17995,18516,19039,20699
Wilayat Daba,Total Population,Omani,Total,Total,capita,5445,5590,5720,3704,3723,3812,3902,3988,4084,4191,4086,4203,4369,4534,4720,4896,5154,5297,5446,5624,6772
Wilayat Bukha,Total Population,Omani,Total,Total,capita,3311,3399,3478,1942,1952,1999,2046,2091,2141,2198,2027,2085,2167,2249,2341,2426,2613,2712,2787,2842,3266
Wilayat Madha,Total Population,Omani,Total,Total,capita,2506,2573,2633,1554,1562,1599,1638,1673,1713,1758,1938,1994,2072,2151,2238,2322,2399,2473,2539,2609,3550
Al Buraymi,Total Population,Omani,Total,Total,capita,,,,33455,,,40310,41141,42087,43650,43026,44261,46004,47747,49694,51543,53139,54818,56445,58079,72849
Wilayat Al Buraymi,Total Population,Omani,Total,Total,capita,34585,35500,36314,33455,33865,34615,35104,35828,36650,38012,37964,39053,40591,42129,43847,45479,46950,48451,49873,51330,64024
Wilayat Mahadah,Total Population,Omani,Total,Total,capita,5725,5876,6011,4659,4716,4821,4927,5028,5145,5335,4756,4893,5085,5278,5493,5697,5804,5978,6176,6334,8211
Wilayat As Sunaynah,Total Population,Omani,Total,Total,capita,,,,,,,279,285,292,303,306,315,328,340,354,367,385,389,396,415,614
Ad Dakhliyah,Total Population,Omani,Total,Total,capita,236608,242669,248032,235337,237512,242182,247020,251661,257051,263307,269069,276721,287644,298574,310774,322358,333030,343712,353906,364241,364457
Wilayat Nizwa,Total Population,Omani,Total,Total,capita,57825,59306,60616,57626,58159,59302,60487,61623,62943,64474,65592,67459,70121,72785,75760,78584,80958,83544,86031,88536,90239
Wilayat Bahla,Total Population,Omani,Total,Total,capita,48611,49856,50957,46229,46656,47574,48524,49436,50494,51724,52500,53991,56123,58257,60637,62898,64864,66925,68909,70939,70801
Wilayat Manah,Total Population,Omani,Total,Total,capita,11285,11574,11830,11204,11307,11530,11760,11981,12238,12536,12814,13178,13698,14219,14800,15352,15831,16343,16834,17308,18567
Wilayat Al Hamra,Total Population,Omani,Total,Total,capita,15878,16285,16645,16211,16361,16682,17016,17335,17707,18138,18115,18629,19366,20101,20923,21703,22421,23147,23832,24528,24621
Wilayat Adam,Total Population,Omani,Total,Total,capita,,,,,,,,,,,,14970,15561,16153,16813,17440,17927,18515,19056,19617,19575
Wilayat Izki,Total Population,Omani,Total,Total,capita,30814,31603,32302,31930,32225,32859,33515,34145,34876,35725,36296,37327,38801,40276,41922,43485,44788,46228,47604,48985,47250
Wilayat Samail,Total Population,Omani,Total,Total,capita,40704,41747,42669,40476,40850,41653,42486,43284,44211,45286,47746,49109,51045,52982,55146,57200,61235,61516,63312,65182,63572
Wilayat Bidbid,Total Population,Omani,Total,Total,capita,18272,18740,19155,18600,18772,19141,19523,19890,20316,20810,21449,22058,22929,23801,24773,25696,26639,27494,28328,29146,14892
Al Batinah,Total Population,Omani,Total,Total,capita,558782,573058,585667,564407,569724,581050,592649,603643,616296,630700,,,,,,,,,,,
Al Batinah North,Total Population,Omani,Total,Total,capita,,,,,,,,,,,386535,397563,413241,428928,446444,463080,475208,490332,504795,519660,549976
Wilayat Sohar,Total Population,Omani,Total,Total,capita,84337,86493,88397,83891,84681,86365,88089,89723,91602,93744,92590,95234,98988,102746,106941,110925,114502,118153,121634,125220,131797
Wilayat Shinas,Total Population,Omani,Total,Total,capita,44482,45618,46623,40828,41213,42032,42871,43666,44582,45624,44220,45486,47278,49071,51073,52975,54252,55983,57635,59327,66239
Wilayat Liwa,Total Population,Omani,Total,Total,capita,23027,23615,24135,23000,23217,23678,24151,24599,25115,25701,25455,26179,27213,28246,29400,30496,31594,32590,33540,34540,36381
Wilayat Saham,Total Population,Omani,Total,Total,capita,75998,77940,79654,75335,76045,77556,79105,80572,82261,84184,82158,84501,87833,91168,94892,98429,100667,103882,106937,110085,114968
Wilayat Al Khaburah,Total Population,Omani,Total,Total,capita,41286,42341,43272,41848,42242,43082,43942,44757,45695,46764,46665,47997,49889,51783,53897,55905,56846,58641,60390,62163,63636
